vehicle_make_model,prices
Ampere Magnus Pro,45552.0
Ampere Magnus Pro,66053.0
Ampere Magnus EX,81811.0
Ampere Primus,110117.0
Ampere REO,61993.0
Ampere Reo Elite,42999.0
Ampere Reo Elite,59993.0
Ampere V 48,40101.0
Ampere V 48,51014.0
Ampere Zeal,67478.0
Aprilia Caponord 1200 ABS,1812934.0
Aprilia Caponord 1200 ABS Travel,2001749.0
Aprilia Caponord 1200 Rally,2105281.0
Aprilia Dorsoduro 1200 ABS,1734639.0
Aprilia Dorsoduro 900,1422188.0
Aprilia Mana 850,1085000.0
Aprilia Mana 850 ABS,1446238.0
Aprilia Mana 850 GT ABS,1407035.0
Aprilia RS 660,1339000.0
Aprilia RSV4 1100 Factory,2369000.0
Aprilia RSV4 RF,2494575.0
Aprilia RSV4 RR,2234120.0
Aprilia Shiver 900,1370088.0
Aprilia SR 125,123822.0
Aprilia SR 150,75712.0
Aprilia SR 150,83669.0
Aprilia SR 150,77295.0
Aprilia SR 150,86311.0
Aprilia SR 150,95620.0
Aprilia SR 150,89181.0
Aprilia SR 150,105531.0
Aprilia SR 150,108625.0
Aprilia SR 150,114886.0
Aprilia SR150,76410.0
Aprilia SR150,73373.0
Aprilia SR 160,132720.0
Aprilia SR 160,135168.0
Aprilia SR 160,142007.0
Aprilia SRV 850 ABS ATC,1489306.0
Aprilia Storm 125,102778.0
Aprilia SXR 125,134011.0
Aprilia SXR 160,145397.0
Aprilia Tuono 660,1309000.0
Aprilia Tuono Factory,2066000.0
Aprilia Tuono V4 1100,2005753.0
Aprilia Tuono V4 1100,2136655.0
Aprilia Tuono V4 APRC,
Aprilia Tuono V4 APRC,1984677.0
Ather 340,97757.0
Ather 450,108847.0
Ather 450X Gen 3,155837.0
Ather 450X Gen 3,133955.0
Ather 450X Gen 2,140060.0
Ather 450X Gen 2,159073.0
Avan Motors Trend E,56900.0
Avan Motors Trend E,81269.0
Avan Motors Xero,55000.0
Avan Motors Xero+,47000.0
Avan Motors Xero+,66500.0
Avanturaa Choppers Pravega,2140000.0
Avanturaa Choppers Rudra,2390000.0
Bajaj Avenger,79567.0
Bajaj Avenger Street 150,82192.0
Bajaj Avenger Cruise 220,138999.0
Bajaj Avenger Street 160,112560.0
Bajaj Avenger Street 180,88607.0
Bajaj Avenger Street 220,105380.0
Bajaj Avenger Street 220,96965.0
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Bravo,
Bajaj Byk,
Bajaj Byk,
Bajaj Caliber,
Bajaj Caliber,
Bajaj Chetak,147982.0
Bajaj Chetak,127633.0
Bajaj Chetak,
Bajaj Chetak,
Bajaj Classic 1994,
Bajaj Ct,
Bajaj CT 100,33008.0
Bajaj CT 100,41450.0
Bajaj CT 100,33838.0
Bajaj CT 100,35472.0
Bajaj CT 100,42369.0
Bajaj CT 100,52340.0
Bajaj CT 100,46062.0
Bajaj CT 100,52628.0
Bajaj CT 100,35046.0
Bajaj CT 100,35785.0
Bajaj CT 110,59041.0
Bajaj CT 110,66897.0
Bajaj CT 125X,72155.0
Bajaj CT 125X,75355.0
Bajaj Cub,
Bajaj Discover 100,44941.0
Bajaj Discover 100,46588.0
Bajaj Discover 100,
Bajaj Discover 100 M,47128.0
Bajaj Discover 100 M,49157.0
Bajaj Discover 100 T,49672.0
Bajaj Discover 100 T,51497.0
Bajaj Discover 110,52801.0
Bajaj Discover 110,54204.0
Bajaj Discover125,51074.0
Bajaj Discover125,53104.0
Bajaj Discover 125,59142.0
Bajaj Discover 125,63091.0
Bajaj Discover125,
Bajaj Discover 125,59700.0
Bajaj Discover 125,57047.0
Bajaj Discover 125 ST,57810.0
Bajaj Discover 125T,56051.0
Bajaj Discover 125T,53107.0
Bajaj Discover 135,
Bajaj Discover 135,
Bajaj Discover 150,53411.0
Bajaj Discover 150F,63754.0
Bajaj Discover 150F,59641.0
Bajaj Discover 150S,56047.0
Bajaj Discover 150S,59977.0
Bajaj Dominar 250,177404.0
Bajaj Dominar 400,223119.0
Bajaj Dominar 400,162452.0
Bajaj Dominar 400,148018.0
Bajaj Kristal,
Bajaj Legend,
Bajaj M80,
Bajaj Discover 125 M,51748.0
Bajaj Discover 125 M,49789.0
Bajaj Platina 100,60001.0
Bajaj Platina 100,63706.0
Bajaj Platina 100,52734.0
Bajaj Platina 100,65249.0
Bajaj Platina 110,72692.0
Bajaj Platina 110,69461.0
Bajaj Platina 110,67673.0
Bajaj Platina 110,51111.0
Bajaj Priya,
Bajaj Pulsar 125,89838.0
Bajaj Pulsar 125,92179.0
Bajaj Pulsar 125,85756.0
Bajaj Pulsar 125,82712.0
Bajaj Pulsar 125,90741.0
Bajaj Pulsar 125,84834.0
Bajaj Pulsar 135 LS,64180.0
Bajaj Pulsar 150,105884.0
Bajaj Pulsar 150,113349.0
Bajaj Pulsar 150,116762.0
Bajaj Pulsar 150,
Bajaj Pulsar 180,117972.0
Bajaj Pulsar 180,85333.0
Bajaj Pulsar 180,93842.0
Bajaj Pulsar 180F,87743.0
Bajaj Pulsar 180F,96710.0
Bajaj Pulsar 180F,115080.0
Bajaj Pulsar 200,
Bajaj Pulsar 220 F,136422.0
Bajaj Pulsar 220 DTS-i,
Bajaj Pulsar 220 F,98499.0
Bajaj Pulsar 220 F,112498.0
Bajaj Pulsar 220 F,131286.0
Bajaj Pulsar 220 Fi,
Bajaj Pulsar 220S,
Bajaj Pulsar AS150,83530.0
Bajaj Pulsar AS200,97085.0
Bajaj Pulsar F250,150430.0
Bajaj Pulsar F250,144449.0
Bajaj Pulsar N160,123006.0
Bajaj Pulsar N160,129332.0
Bajaj Pulsar N250,150429.0
Bajaj Pulsar N250,144285.0
Bajaj Pulsar NS200,146826.0
Bajaj Pulsar NS200,142051.0
Bajaj Pulsar NS125,105597.0
Bajaj Pulsar NS160,135038.0
Bajaj Pulsar NS160,124606.0
Bajaj Pulsar P150,117179.0
Bajaj Pulsar P150,120181.0
Bajaj Rave,
Bajaj Pulsar RS 200,171256.0
Bajaj Saffire,
Bajaj Saffire,
Bajaj Spirit,
Bajaj Spirit,
Bajaj Sunny Spice,
Bajaj Sunny Spice,
Bajaj Super,
Bajaj V12,58954.0
Bajaj V12,60296.0
Bajaj V15,67583.0
Bajaj V15,66448.0
Bajaj Wave,
Bajaj Wind,
Bajaj Wind,
Bajaj Xcd,
Bajaj Xcd,
Bajaj Xcd,
Bajaj Xcd,
Benelli 302R BS4,317558.0
Benelli 502C,579955.0
Benelli Imperiale 400,234886.0
Benelli Leoncino 500,554876.0
Benelli Leoncino 250 BS4,250888.0
Benelli Leoncino 500 BS4,480791.0
Benelli TNT 25,190641.0
Benelli TNT 25,175973.0
Benelli TNT 300 BS4,305315.0
Benelli TNT 600GT,658854.0
Benelli TNT600i BS4,617272.0
Benelli TNT600i BS4,559832.0
Benelli TNT 899,973217.0
Benelli TNT R,1210421.0
Benelli TRK 251,298977.0
Benelli TRK 502,569881.0
Benelli TRK 502 BS4,511816.0
Benelli TRK 502X,629954.0
Benelli TRK 502X BS4,551848.0
Benling Aura,91667.0
Benling Falcon,60923.0
Benling Icon,63660.0
Benling Kriti,56781.0
BGauss A2,76060.0
BGauss B8,85384.0
BGauss C12,97999.0
BGauss D15,104536.0
BGauss D15,117610.0
BMW C 400 GT,1074904.0
BMW F650,1200433.0
BMW F750 GS,1197432.0
BMW F750 GS,1322410.0
BMW F750 GS,1342410.0
BMW F850 GS,1374909.0
BMW F850 GS,1294918.0
BMW F850 GS,1297482.0
BMW F850 GS,1442410.0
BMW F850 GS,1422410.0
BMW F 850 GS Adventure,1540000.0
BMW F900R,1076989.0
BMW F900XR,1254954.0
BMW F900XR,1093494.0
BMW F900XR,1236989.0
BMW G 310 GS,320556.0
BMW G310GS,349402.0
BMW G 310 GS,304873.0
BMW G 310 R,280939.0
BMW G 310 R,299000.0
BMW G 310 R,264877.0
BMW G310 RR,294982.0
BMW G310 RR,299975.0
BMW K1300 R,2509000.0
BMW K1300 S,2395512.0
BMW K 1600,2998414.0
BMW K 1600,3207110.0
BMW K 1600,3307110.0
BMW K 1600 B,2868937.0
BMW K1600 GT,2959070.0
BMW K1600 GTL,2630000.0
BMW K1600 GTL,2927292.0
BMW M 1000 RR,4200000.0
BMW M 1000 RR,4500000.0
BMW R1200 GS,1588395.0
BMW R1200 GS,1934825.0
BMW R1200 GS,1925804.0
BMW R1200 GS Adventure,1728395.0
BMW R1200 GS Adventure,2135325.0
BMW R1200 GS Adventure,2098395.0
BMW R1200 R,1504985.0
BMW R1200 R,1548029.0
BMW R1200 R,1564985.0
BMW R 1200 RS,1554985.0
BMW R 1200 RS,1654985.0
BMW R1200 RT,1834383.0
BMW R1200 RT,2055095.0
BMW R 1250 GS,2079745.0
BMW R 1250 GS,1685000.0
BMW R 1250 GS,2005000.0
BMW R 1250 GS Adventure,2265865.0
BMW R 1250 GS Adventure,1825000.0
BMW R 1250 GS Adventure,2195000.0
BMW R 1250 R,1595000.0
BMW R 1250 RT,2402762.0
BMW R 1250 RT,2250000.0
BMW R1300,2194500.0
BMW R1300,2090000.0
BMW R18,2590000.0
BMW R18,3150000.0
BMW R18,1989819.0
BMW R18,2254882.0
BMW R18,2400000.0
BMW R nineT,2400000.0
BMW R nineT,1902609.0
BMW R nineT,1778546.0
BMW R nineT Racer,1679228.0
BMW R Nine T Scrambler,1734700.0
BMW R Nine T Scrambler,1598275.0
BMW S 1000 R,1899809.0
BMW S 1000 R,2044809.0
BMW S 1000 R,2329781.0
BMW S 1000 R,1768546.0
BMW S 1000 R,1851088.0
BMW S 1000 R,1668907.0
BMW S 1000 RR,2028799.0
BMW S 1000 RR,2218799.0
BMW S 1000 RR,2445000.0
BMW S1000 RR,1798029.0
BMW S1000 RR,2068029.0
BMW S1000 RR,
BMW S1000 RR,
BMW S1000 RR,1850000.0
BMW S1000 RR,2095000.0
BMW S1000 RR,2295000.0
BMW S1000 RR,2169243.0
BMW S1000 RR,2395000.0
BMW S1000 RR,1979243.0
BMW S 1000 XR,2209275.0
BMW S 1000 XR,1788957.0
BMW S 1000 XR,2086012.0
Bounce Infinity E1,88484.0
Bounce Infinity E1,54443.0
CFMoto 300NK,229000.0
CFMoto 300NK,229000.0
CFMoto 650GT,559000.0
CFMoto 650GT,549000.0
CFMoto 650MT,529000.0
CFMoto 650MT,499000.0
CFMoto 650NK,429000.0
CFMoto 650NK,399000.0
Cleveland CycleWerks Ace,223561.0
Cleveland CycleWerks Misfit,249777.0
Ducati 1098 R TB,
Ducati 1198,
Ducati 1198 R,
Ducati 1198 S,
Ducati 1199 Panigale,2160015.0
Ducati 1299 Panigale,3611872.0
Ducati 1299 Panigale R Final Edition,5410291.0
Ducati 1299 Panigale S,4450947.0
Ducati 1299 Superleggera,11365274.0
Ducati 848,
Ducati 848 Evo,1657694.0
Ducati 899 Panigale,1514110.0
Ducati 899 Panigale,1479833.0
Ducati 959 Panigale,1474434.0
Ducati 959 Panigale,1496696.0
Ducati DesertX,1791000.0
Ducati Diavel,2173218.0
Ducati Diavel,1611342.0
Ducati Diavel 1260,2149000.0
Ducati Diavel 1260,2499000.0
Ducati Diavel 1260,1771324.0
Ducati Diavel 1260,1928754.0
Ducati Diavel Carbon,
Ducati Diavel Carbon,
Ducati Diavel Carbon,1972145.0
Ducati Diavel Carbon,1673314.0
Ducati Diavel Carbon,1647369.0
Ducati Diavel Titanium,3790000.0
Ducati Hypermotard 939,1114003.0
Ducati Hypermotard 939,1961482.0
Ducati Hypermotard 821,
Ducati Hypermotard 821,1048786.0
Ducati Hypermotard 821,
Ducati Hypermotard 821,
Ducati Hypermotard 950,1560000.0
Ducati Hypermotard 950,1705000.0
Ducati Hypermotard 950,1199000.0
Ducati Hypermotard SP 821,1951667.0
Ducati Hyperstrada 939,1216287.0
Ducati Hyperstrada 821,1167333.0
Ducati Monster 1100 Evo,
Ducati Monster 1200,2099291.0
Ducati Monster 1200 R,3109052.0
Ducati Monster 1200 R,3118997.0
Ducati Monster 1200 S 2018,2571141.0
Ducati Monster 1200 S 2018,2581048.0
Ducati Monster 1200 S,2802466.0
Ducati Monster 1200 S Stripe,2625667.0
Ducati Monster 20th Anniversary,
Ducati Monster 696,
Ducati Monster 795,687328.0
Ducati Monster 795,
Ducati Monster 796,919393.0
Ducati Monster 797,837430.0
Ducati Monster 797,815968.0
Ducati Monster 821,1024021.0
Ducati Monster 821,1030234.0
Ducati Monster 821 Dark,1013507.0
Ducati Monster BS6,1249000.0
Ducati Monster BS6,1206000.0
Ducati Monster Diesel,
Ducati Multistrada 1200,
Ducati Multistrada 1200,1534178.0
Ducati Multistrada 1200,2328198.0
Ducati Multistrada 1200,2718050.0
Ducati Multistrada 1200 Enduro,1885223.0
Ducati Multistrada 1200 Enduro,1875175.0
Ducati Multistrada 1200 Pikes Peak,2070115.0
Ducati Multistrada 1200 S,1745835.0
Ducati Multistrada 1260,1735330.0
Ducati Multistrada 1260,1924148.0
Ducati Multistrada 1260,2366471.0
Ducati Multistrada 1260 Enduro,1999000.0
Ducati Multistrada 950,1549000.0
Ducati Multistrada 950,1286186.0
Ducati Multistrada 950,1410000.0
Ducati Multistrada V2,1605000.0
Ducati Multistrada V2,1749000.0
Ducati Multistrada V2,1832000.0
Ducati Multistrada V4,3148000.0
Ducati Multistrada V4,2148000.0
Ducati Multistrada V4,2673000.0
Ducati Panigale R,5134288.0
Ducati Panigale V2,2026450.0
Ducati Panigale V2,2360000.0
Ducati Panigale V4,2741000.0
Ducati Panigale V4,3306000.0
Ducati Panigale V4,4099000.0
Ducati Panigale V4,2059833.0
Ducati Panigale V4,2350000.0
Ducati Panigale V4,2840000.0
Ducati Panigale V4,3607000.0
Ducati Panigale V4 R,5181703.0
Ducati Panigale V4 S,2604072.0
Ducati Scrambler 1100,1598622.0
Ducati Scrambler 1100,1340000.0
Ducati Scrambler 1100,1410000.0
Ducati Scrambler 1100,1091000.0
Ducati Scrambler 1100,1116870.0
Ducati Scrambler 1100,1176348.0
Ducati Scrambler Cafe Racer,933316.0
Ducati Scrambler Cafe Racer,982033.0
Ducati Scrambler Classic,849935.0
Ducati Scrambler Desert Sled,1259000.0
Ducati Scrambler Desert Sled,946081.0
Ducati Scrambler Desert Sled,935504.0
Ducati Scrambler Desert Sled,997033.0
Ducati Scrambler Full Throttle,849923.0
Ducati Scrambler Full Throttle,896033.0
Ducati Scrambler Icon,989000.0
Ducati Scrambler Icon,939000.0
Ducati Scrambler Icon,734369.0
Ducati Scrambler Icon,724094.0
Ducati Scrambler Icon,734368.0
Ducati Scrambler Icon,778704.0
Ducati Scrambler Mach 2.0,856468.0
Ducati Scrambler Nightshift,1169000.0
Ducati Scrambler Urban Enduro,857516.0
Ducati Scrambler Urban Motard,1199000.0
Ducati Sport Classic,
Ducati Sport Classic,
Ducati Sport Classic,
Ducati Sport Classic,
Ducati Streetfighter,2281000.0
Ducati Streetfighter,2383891.0
Ducati Streetfighter V2,1810000.0
Ducati Streetfighter V4,2215000.0
Ducati Streetfighter V4,2549000.0
Ducati SuperSport,1575000.0
Ducati SuperSport,1839000.0
Ducati SuperSport,1256835.0
Ducati SuperSport,1378674.0
Ducati XDiavel,2449000.0
Ducati XDiavel,2120000.0
Ducati XDiavel,1971291.0
Ducati XDiavel,1704690.0
Evolet Derby,49124.0
Evolet Derby,64599.0
Evolet Polo,59299.0
Evolet Polo,49699.0
Evolet Pony,52899.0
Evolet Pony,41124.0
FB Mondial HPS 300,337000.0
Gemopai Astrid Lite,92289.0
Gemopai Ryder,70821.0
Gemopai Ryder SuperMax,79999.0
Harley-Davidson 1200 Custom,1090347.0
Harley-Davidson 1200 Custom,1056582.0
Harley-Davidson 883 Roadster,762600.0
Harley-Davidson Breakout,1683739.0
Harley-Davidson CVO,
Harley-Davidson CVO Limited,5098229.0
Harley-Davidson Electra Glide,2499000.0
Harley-Davidson Fat Bob,1803062.0
Harley-Davidson Fat Bob,1361517.0
Harley-Davidson Fat Bob,1461622.0
Harley-Davidson Fat Boy,2211145.0
Harley-Davidson Fat Boy 114,2043299.0
Harley-Davidson Fat Boy,1709011.0
Harley-Davidson Fat Boy,1833051.0
Harley-Davidson Fat Boy Special,2010000.0
Harley-Davidson Fat Boy Special,1619549.0
Harley-Davidson Forty Eight,1351149.0
Harley-Davidson Forty Eight,1070797.0
Harley-Davidson Forty Eight Special,1098000.0
Harley-Davidson Forty Eight Special-2019,1098455.0
Harley-Davidson Deluxe,1888966.0
Harley-Davidson Heritage Classic,2363964.0
Harley-Davidson Heritage Classic,
Harley-Davidson Heritage Classic,1992911.0
Harley-Davidson Heritage Softail Classic,1860112.0
Harley-Davidson Iron 883,1197109.0
Harley-Davidson Iron 883,934177.0
Harley-Davidson Low Rider,1377494.0
Harley-Davidson Low Rider,1366480.0
Harley-Davidson Low Rider S,1471724.0
Harley-Davidson Night Rod,
Harley-Davidson Nightster,1499000.0
Harley-Davidson Nightster,1074434.0
Harley-Davidson PAN America 1250,1825938.0
Harley-Davidson PAN America 1250,2153807.0
Harley-Davidson Road Glide Special,3717770.0
Harley-Davidson Road Glide Special,3359150.0
Harley-Davidson Road King,2858385.0
Harley-Davidson Road King,2359041.0
Harley-Davidson Road King,2638227.0
Harley-Davidson Roadster,1108945.0
Harley-Davidson Roadster XL 883 R,
Harley-Davidson Softail,1525000.0
Harley-Davidson Softtail Fatboy,
Harley-Davidson Sportster,
Harley-Davidson Sportster S,1653993.0
Harley-Davidson Sportster XL 1200 N,
Harley-Davidson Sportster XL883 L,
Harley-Davidson Sportster XL883 R,
Harley-Davidson Sportster XR 1200X,
Harley-Davidson Street 750,469000.0
Harley-Davidson Street 750,534716.0
Harley-Davidson Street 750,547098.0
Harley-Davidson Street 750,515037.0
Harley-Davidson Street Bob,1601576.0
Harley-Davidson Street Bob,1112295.0
Harley-Davidson Street Bob,1281047.0
Harley-Davidson Street Glide,2554773.0
Harley-Davidson Street Glide Special,3417770.0
Harley-Davidson Street Glide Special,3218934.0
Harley-Davidson Street Glide Special,3061846.0
Harley-Davidson Street Rod,599000.0
Harley-Davidson Street Rod,602045.0
Harley-Davidson Super Glide Custom,1217131.0
Harley-Davidson SuperLow,595998.0
Harley-Davidson Ultra Classic Electra Glide,3685132.0
Harley-Davidson V Rod,2218288.0
Harley-Davidson V Rod,
Harley-Davidson XR1200X,1210567.0
Hero Achiever 150,69576.0
Hero Achiever 150,67612.0
Hero Achiever 150,63997.0
Hero Ambition,
Hero CBZ,
Hero CBZ,
Hero CD Dawn,
Hero CD Deluxe,
Hero CD Deluxe,
Hero HF Dawn,40274.0
Hero Destini 125,61173.0
Hero Destini 125,58048.0
Hero Destini 125,72660.0
Hero Destini 125,77217.0
Hero Destini 125,78331.0
Hero Destini 125,78911.0
Hero Destini 125 Xtec,73689.0
Hero Destini 125 Xtec,78546.0
Hero Destini 125 Xtec,84498.0
Hero Duet,49972.0
Hero Duet,53946.0
Hero Glamour,79476.0
Hero Glamour,83464.0
Hero Glamour,81476.0
Hero Glamour,85473.0
Hero Glamour,81329.0
Hero Glamour,85366.0
Hero Glamour 125,60633.0
Hero Glamour 125,61911.0
Hero Glamour FI,68964.0
Hero Glamour FI,70894.0
Hero Glamour Xtec,86545.0
Hero Glamour Xtec,91155.0
Hero HF Dawn,38865.0
Hero HF Deluxe,65526.0
Hero HF Deluxe,60164.0
Hero HF Deluxe,67178.0
Hero HF Deluxe,55021.0
Hero HF Deluxe,66725.0
Hero HF Deluxe Eco,48596.0
Hero Hunk,71890.0
Hero Hunk,74968.0
Hero Ignitor,64252.0
Hero Ignitor,62147.0
Hero Impulse,72651.0
Hero Karizma,79656.0
Hero Karizma 2014,85312.0
Hero Karizma ZMR,108003.0
Hero Karizma ZMR,110506.0
Hero Karizma ZMR,99389.0
Hero Karizma ZMR,107423.0
Hero Maestro Edge 125,87827.0
Hero Maestro Edge 125,82804.0
Hero Maestro Edge 125,87821.0
Hero Maestro Edge 125,92433.0
Hero Maestro,50481.0
Hero Maestro,49968.0
Hero Maestro Edge 110,70900.0
Hero Maestro Edge 110,76141.0
Hero Optima,
Hero Passion Pro,73490.0
Hero Passion Pro,76320.0
Hero Passion PRO i3s,57334.0
Hero Passion PRO i3s,49090.0
Hero Passion PRO i3s,54551.0
Hero Passion PRO i3s,56698.0
Hero Passion PRO i3s,50127.0
